Metric,Average,BFS,IDS,DFS,,,Average,BFS,IDS,DFS
memory,1,1,0,1,,time,1,0.000014,0.000009,0.000009
memory,2,2,1,2,,time,2,0.000049,0.00005,0.00005
memory,3,4,2,3,,time,3,0.00013,0.000139,0.000077
memory,4,8,3,4,,time,4,0.000287,0.000275,0.000205
memory,5,16,4,5,,time,5,0.000607,0.000671,0.000265
memory,6,32,5,6,,time,6,0.001315,0.001478,0.000402
memory,7,64,6,7,,time,7,0.002472,0.002902,0.001056
memory,8,128,7,8,,time,8,0.005073,0.005337,0.002652
memory,9,256,8,9,,time,9,0.010333,0.011919,0.003272
memory,10,512,9,10,,time,10,0.020739,0.023287,0.008537
memory,11,1024,10,11,,time,11,0.057219,0.056742,0.015848
memory,12,2048,11,12,,time,12,0.08522,0.088649,0.035069
memory,13,4096,12,13,,time,13,0.191135,0.216607,0.057528
memory,14,8192,13,14,,time,14,0.370927,0.398889,0.126461
